# name: candidate-3
# description: score 9704.50; pareto rank 2; shape Loop; distance 4.04 km; ascent/descent 113/113 m; sustained-steep 0.00 km; grade flat 49.6%, rolling 50.4%, steep 0.0%, savage 0.0%; difficulty 2011.84; road 2.0%; low-confidence 0.0%; restricted-access 74.7%; repeated-edge 0.0%; constraints violated; violations difficulty 2011.84 above maximum 90.00 | restricted-access fraction 74.7% above maximum 0.0%
# activity: hiking
longitude,latitude,elevation_m
-105.0000000,40.0087684,1723.915
-105.0000000,40.0089932,1725.939
-105.0000000,40.0092180,1727.962
-105.0000000,40.0094429,1729.986
-105.0000000,40.0094429,1729.986
-105.0000000,40.0096677,1732.009
-105.0000000,40.0098925,1734.033
-105.0000000,40.0101174,1736.056
-105.0000000,40.0101174,1736.056
-105.0000000,40.0103422,1738.080
-105.0000000,40.0105670,1740.103
-105.0000000,40.0107918,1742.127
-105.0000000,40.0107918,1742.127
-105.0000000,40.0110167,1744.150
-105.0000000,40.0112415,1746.174
-105.0000000,40.0114663,1748.197
-105.0000000,40.0114663,1748.197
-105.0000000,40.0116912,1750.220
-105.0000000,40.0119160,1752.244
-105.0000000,40.0120000,1753.000
-104.9997065,40.0120000,1752.002
-104.9997065,40.0120000,1752.002
-104.9994129,40.0120000,1751.004
-104.9994129,40.0120000,1751.004
-104.9991194,40.0120000,1750.006
-104.9991194,40.0120000,1750.006
-104.9988258,40.0120000,1749.008
-104.9988258,40.0120000,1749.008
-104.9985323,40.0120000,1748.010
-104.9985323,40.0120000,1748.010
-104.9982387,40.0120000,1747.012
-104.9982387,40.0120000,1747.012
-104.9979452,40.0120000,1746.014
-104.9979452,40.0120000,1746.014
-104.9976516,40.0120000,1745.016
-104.9976516,40.0120000,1745.016
-104.9973581,40.0120000,1744.017
-104.9973581,40.0120000,1744.017
-104.9970645,40.0120000,1743.019
-104.9970645,40.0120000,1743.019
-104.9967710,40.0120000,1742.021
-104.9967710,40.0120000,1742.021
-104.9964774,40.0120000,1741.023
-104.9964774,40.0120000,1741.023
-104.9961839,40.0120000,1740.025
-104.9961839,40.0120000,1740.025
-104.9958903,40.0120000,1739.027
-104.9958903,40.0120000,1739.027
-104.9955968,40.0120000,1738.029
-104.9955968,40.0120000,1738.029
-104.9953033,40.0120000,1737.031
-104.9953033,40.0120000,1737.031
-104.9950097,40.0120000,1736.033
-104.9950097,40.0120000,1736.033
-104.9947162,40.0120000,1735.035
-104.9947162,40.0120000,1735.035
-104.9944226,40.0120000,1734.037
-104.9944226,40.0120000,1734.037
-104.9941291,40.0120000,1733.039
-104.9941291,40.0120000,1733.039
-104.9938355,40.0120000,1732.041
-104.9938355,40.0120000,1732.041
-104.9935420,40.0120000,1731.043
-104.9935420,40.0120000,1731.043
-104.9932484,40.0120000,1730.045
-104.9932484,40.0120000,1730.045
-104.9929549,40.0120000,1729.047
-104.9929549,40.0120000,1729.047
-104.9926613,40.0120000,1728.049
-104.9926613,40.0120000,1728.049
-104.9923678,40.0120000,1727.050
-104.9923678,40.0120000,1727.050
-104.9920742,40.0120000,1726.052
-104.9920742,40.0120000,1726.052
-104.9917807,40.0120000,1725.054
-104.9917807,40.0120000,1725.054
-104.9914872,40.0120000,1724.056
-104.9914872,40.0120000,1724.056
-104.9911936,40.0120000,1723.058
-104.9911936,40.0120000,1723.058
-104.9909001,40.0120000,1722.060
-104.9909001,40.0120000,1722.060
-104.9906065,40.0120000,1721.062
-104.9906065,40.0120000,1721.062
-104.9903130,40.0120000,1720.064
-104.9903130,40.0120000,1720.064
-104.9900194,40.0120000,1719.066
-104.9900194,40.0120000,1719.066
-104.9897259,40.0120000,1718.068
-104.9897259,40.0120000,1718.068
-104.9894323,40.0120000,1717.070
-104.9894323,40.0120000,1717.070
-104.9891388,40.0120000,1716.072
-104.9891388,40.0120000,1716.072
-104.9888452,40.0120000,1715.074
-104.9888452,40.0120000,1715.074
-104.9885517,40.0120000,1714.076
-104.9885517,40.0120000,1714.076
-104.9882581,40.0120000,1713.078
-104.9882581,40.0120000,1713.078
-104.9880000,40.0120000,1712.200
-104.9880414,40.0119586,1712.067
-104.9882199,40.0117801,1711.487
-104.9883984,40.0116016,1710.893
-104.9885769,40.0114231,1710.287
-104.9887554,40.0112446,1709.669
-104.9889339,40.0110661,1709.037
-104.9891124,40.0108876,1708.393
-104.9892908,40.0107092,1707.736
-104.9894693,40.0105307,1707.066
-104.9896478,40.0103522,1706.384
-104.9898263,40.0101737,1705.689
-104.9900048,40.0099952,1704.981
-104.9901833,40.0098167,1704.260
-104.9903618,40.0096382,1703.527
-104.9905402,40.0094598,1702.781
-104.9907187,40.0092813,1702.022
-104.9908972,40.0091028,1701.250
-104.9910757,40.0089243,1700.466
-104.9912542,40.0087458,1699.669
-104.9914327,40.0085673,1698.859
-104.9916112,40.0083888,1698.036
-104.9917896,40.0082104,1697.201
-104.9919681,40.0080319,1696.353
-104.9921466,40.0078534,1695.492
-104.9923251,40.0076749,1694.618
-104.9925036,40.0074964,1693.732
-104.9926821,40.0073179,1692.833
-104.9928606,40.0071394,1691.921
-104.9930390,40.0069610,1690.997
-104.9932175,40.0067825,1690.059
-104.9933960,40.0066040,1689.109
-104.9935745,40.0064255,1688.147
-104.9937530,40.0062470,1687.171
-104.9939315,40.0060685,1686.183
-104.9939315,40.0060685,1686.183
-104.9941100,40.0058900,1685.182
-104.9941100,40.0058900,1685.182
-104.9942884,40.0057116,1684.168
-104.9942884,40.0057116,1684.168
-104.9944669,40.0055331,1683.142
-104.9944669,40.0055331,1683.142
-104.9946454,40.0053546,1682.102
-104.9946454,40.0053546,1682.102
-104.9948239,40.0051761,1681.050
-104.9948239,40.0051761,1681.050
-104.9950024,40.0049976,1679.981
-104.9950024,40.0049976,1679.981
-104.9951809,40.0048191,1678.553
-104.9951809,40.0048191,1678.553
-104.9953594,40.0046406,1677.125
-104.9953594,40.0046406,1677.125
-104.9955378,40.0044622,1675.697
-104.9955379,40.0044621,1675.697
-104.9957163,40.0042837,1674.269
-104.9957163,40.0042837,1674.269
-104.9958948,40.0041052,1672.841
-104.9958948,40.0041052,1672.841
-104.9960733,40.0039267,1671.414
-104.9960733,40.0039267,1671.414
-104.9962518,40.0037482,1669.986
-104.9962518,40.0037482,1669.986
-104.9964303,40.0035697,1668.558
-104.9964303,40.0035697,1668.558
-104.9966088,40.0033912,1667.130
-104.9966088,40.0033912,1667.130
-104.9967873,40.0032127,1665.702
-104.9967873,40.0032127,1665.702
-104.9969657,40.0030343,1664.274
-104.9969657,40.0030343,1664.274
-104.9971442,40.0028558,1662.846
-104.9971442,40.0028558,1662.846
-104.9973227,40.0026773,1661.418
-104.9973227,40.0026773,1661.418
-104.9975012,40.0024988,1659.990
-104.9975012,40.0024988,1659.990
-104.9976797,40.0023203,1658.563
-104.9976797,40.0023203,1658.563
-104.9978582,40.0021418,1657.135
-104.9978582,40.0021418,1657.135
-104.9980367,40.0019633,1655.707
-104.9980367,40.0019633,1655.707
-104.9982151,40.0017849,1654.279
-104.9982151,40.0017849,1654.279
-104.9983936,40.0016064,1652.851
-104.9983936,40.0016064,1652.851
-104.9985721,40.0014279,1651.423
-104.9985721,40.0014279,1651.423
-104.9987506,40.0012494,1649.995
-104.9987506,40.0012494,1649.995
-104.9989291,40.0010709,1648.567
-104.9989291,40.0010709,1648.567
-104.9991076,40.0008924,1647.139
-104.9991076,40.0008924,1647.139
-104.9992861,40.0007139,1645.712
-104.9992861,40.0007139,1645.712
-104.9994645,40.0005355,1644.284
-104.9994645,40.0005355,1644.284
-104.9996430,40.0003570,1642.856
-104.9996430,40.0003570,1642.856
-104.9998215,40.0001785,1641.428
-104.9998215,40.0001785,1641.428
-105.0000000,40.0000000,1640.000
